COUNTY,TOWN,VILL,DPP,KMT,TPP,NPP,MEDIAN,SD
臺北市,北投區,建民里,0.39764621968616265,0.31847360912981454,0.2107703281027104,0.02674750356633381,605,1751.6
臺北市,北投區,文林里,0.4043795620437956,0.318978102189781,0.2062043795620438,0.029562043795620437,585,1591.02
臺北市,北投區,石牌里,0.388715710723192,0.3322942643391521,0.20978802992518703,0.024002493765586035,525,1273.38
臺北市,北投區,福興里,0.3598983598983599,0.3264033264033264,0.24047124047124047,0.030492030492030493,562,1402.54
臺北市,北投區,榮光里,0.335312277368796,0.34813583471859416,0.2403229636665875,0.029684160531940156,545,1150.36
臺北市,北投區,榮華里,0.3515454941227688,0.3759251197213757,0.19286025250326513,0.031127557683935568,699,2209.75
臺北市,北投區,裕民里,0.35647474537518187,0.35772188734150906,0.2145084182082727,0.02307212637705259,601,1865.23
臺北市,北投區,振華里,0.34648257725180803,0.383738768354153,0.20337497260574183,0.02410694718387026,596,1344.76
臺北市,北投區,永和里,0.3826485628636925,0.3558455298889085,0.1952036677834597,0.027861047434314935,631,2782.38
臺北市,北投區,永欣里,0.3335346215780998,0.38184380032206117,0.2026972624798712,0.034420289855072464,866,3183.12
臺北市,北投區,永明里,0.33400402414486924,0.36016096579476864,0.2391012743125419,0.030181086519114688,636,1357.97
臺北市,北投區,東華里,0.332005792903693,0.38667632150615494,0.2056480811006517,0.023533671252715424,534,1440.13
臺北市,北投區,吉利里,0.31248513674197387,0.3854934601664685,0.22782401902497026,0.029488703923900118,600,1227.99
臺北市,北投區,吉慶里,0.38719799184185755,0.3024788202070913,0.2362723564480703,0.02698462503922184,598,1276.37
臺北市,北投區,尊賢里,0.41481734380334584,0.2871287128712871,0.2304540798907477,0.028337316490269715,548,1134.43
臺北市,北投區,立賢里,0.3713246438314641,0.3140345559260382,0.2461351924825705,0.024552894816611093,575,1111.14
臺北市,北投區,立農里,0.3589566419070651,0.31335291069269305,0.25289341855242703,0.029193297633442736,573,1384.95
臺北市,北投區,八仙里,0.3707659444613976,0.33658834299664325,0.21727189502593836,0.02929508696978944,531,1205.2
臺北市,北投區,洲美里,0.4577373211963589,0.22886866059817945,0.23862158647594278,0.02340702210663199,454,851.65
臺北市,北投區,奇岩里,0.3696755994358251,0.3342736248236953,0.22566995768688294,0.028490832157968972,592,1984.28
臺北市,北投區,清江里,0.39174674957603167,0.3331449029583569,0.20557753909930282,0.025438100621820236,470,1934.07
臺北市,北投區,中央里,0.40052834789676894,0.31436699857752487,0.21682584840479577,0.024791709002235318,518,1445.62
臺北市,北投區,長安里,0.378987898789879,0.32205720572057206,0.2257975797579758,0.02832783278327833,500,1396.86
臺北市,北投區,大同里,0.4038632986627043,0.30222882615156016,0.21634472511144132,0.02823179791976226,497,1569.42
臺北市,北投區,溫泉里,0.39146706586826346,0.3355788423153693,0.1998502994011976,0.023952095808383235,460,1259.63
臺北市,北投區,林泉里,0.33121754183496827,0.3750721292556261,0.23023658395845356,0.024235429890363532,496,855.89
臺北市,北投區,中心里,0.35134443021766965,0.33751600512163893,0.23175416133162613,0.02381562099871959,500,1310.72
臺北市,北投區,中庸里,0.38448912597455887,0.31062782109150594,0.23389413212966761,0.027903159622486663,495,827.13
臺北市,北投區,開明里,0.34047735021919145,0.37993180711154406,0.2138334145153434,0.02143205065757428,491,1790.87
臺北市,北投區,中和里,0.3495209778658738,0.36174430128840435,0.21671622068054178,0.026759167492566897,481,3510.66
臺北市,北投區,智仁里,0.3320495185694636,0.35873452544704265,0.24181568088033012,0.024484181568088032,464,869.78
臺北市,北投區,秀山里,0.3442367601246106,0.3888888888888889,0.19314641744548286,0.02232606438213915,443,806.54
臺北市,北投區,文化里,0.225,0.48629032258064514,0.21491935483870966,0.02338709677419355,568,1066.78
臺北市,北投區,豐年里,0.3354480570975416,0.3612212529738303,0.23632038065027755,0.03013481363996828,438,882.52
臺北市,北投區,稻香里,0.33817858202313855,0.38326905962622365,0.20350044497181846,0.030554731533669534,494,969.52
臺北市,北投區,桃源里,0.37857528332433893,0.3089584457636266,0.23961144090663788,0.025903939557474366,497,1032.35
臺北市,北投區,一德里,0.39036144578313253,0.2992332968236583,0.23745892661555312,0.02606790799561884,537,1165.37
臺北市,北投區,關渡里,0.3637610484608351,0.3300822919841512,0.2307223407497714,0.025906735751295335,485,1306.04
臺北市,北投區,泉源里,0.4202586206896552,0.2959770114942529,0.21264367816091953,0.028735632183908046,411,2048.79
臺北市,北投區,湖山里,0.40962566844919784,0.3497326203208556,0.17647058823529413,0.012834224598930482,475,1551.03
臺北市,北投區,大屯里,0.48400556328233657,0.25312934631432543,0.1905424200278164,0.01808066759388039,481,1625.07
臺北市,北投區,湖田里,0.3540489642184557,0.3483992467043315,0.18832391713747645,0.01694915254237288,389,2011.01
臺北市,士林區,天母里,0.3488782455255861,0.39475674313082937,0.19158053945046635,0.020418452230904965,686,4799.8
臺北市,士林區,三玉里,0.35603543743078625,0.3648947951273533,0.20431893687707642,0.029346622369878183,624,2737.83
臺北市,士林區,天福里,0.35723771580345287,0.3633466135458167,0.21434262948207172,0.024169986719787515,630,3567.78
臺北市,士林區,天祿里,0.40614886731391586,0.32524271844660196,0.2022653721682848,0.02394822006472492,643,1812.16
臺北市,士林區,天壽里,0.35512483574244413,0.38501971090670173,0.19250985545335086,0.028252299605781867,734,2491.81
臺北市,士林區,天山里,0.3383752134666992,0.4037570139058307,0.1890705050012198,0.02805562332276165,596,2111.78
臺北市,士林區,天和里,0.3580026749888542,0.3756130182790905,0.1997325011145787,0.02251448952296032,661,1804.06
